context,answer
ما هو عدد المقاطعات في إستونيا؟,15
ما هي أكبر طائفة مسيحية في إستونيا؟,الكنيسة الإنجيلية اللوثرية الإستونية
كم عدد المسلمين في إستونيا؟,المسلمين يتجاوز عددهم 10000
ما هو عدد سكان إستونيا؟,"1,319,133مليون نسمة"
ما هي عاصمة إستونيا؟,تالين
ما هو أصل السكان المسلمين في إستونيا؟,ينحدرون من أطراف مختلفة لكن من أصول تتارية جاؤوا من شبه جزيرة القرم.
متى يتم الاحتفال باليوم الوطني الإستوني؟,24 فبراير
ما كان عدد الأستونيين العرقيين قبل الحرب العالمية الثانية؟,88٪
ما هو موقع إستونيا في الاتحاد الأوروبي ومنظمة حلف شمال الأطلسي؟,واحدة من الأعضاء الأقل نموا من حيث عدد السكان في الاتحاد الأوروبي، ومنطقة اليورو، ومنظمة حلف شمال الأطلسي
ما هي أعلى نقطة في إستونيا؟,أعلى نقطة في البلاد هي Munamägi Suur في جنوب شرق البلاد على 318 متر
ما هي نسبة السكان في إستونيا الذين يعتبرون أن الدين ليس له علاقة بحياتهم؟,ثلثي الشعب
ما هو الوصف الذي أعطاه البنك الدولي وصندوق النقد الدولي لإستونيا؟,«اقتصاد ذو دخل مرتفع» من قبل البنك الدولي وبأنها «اقتصاد متطور» من قبل صندوق النقد الدولي
ماهي نسية الاقليات القومية ؟,12٪
كم عدد أيام العطلات الرسمية والأعياد الوطنية الموجودة في إستونيا؟,هناك 12 أيام العطل الرسمية (والتي تأتي مع يوم عطلة) و 12 الأعياد الوطنية يحتفل به سنويا.
ما هي اكبر جزيرتين في إستونيا؟,ساريما وهيوما
ماذا كانت أكبر الأقليات في عام 1934؟,الروس والألمان والسويديين، لاتفيا، اليهود والبولنديين والفنلنديين والمجريين
هل إستونيا عضوًا في منظمة التعاون الاقتصادي والتنمية؟,أصبحت في وقت لاحق عضوًا في منظمة التعاون الاقتصادي والتنمية
ما كان نصيب الألمان البلطيق في عام 1934؟,1.3٪ (16346)
ما هو الاسم الرسمي لإستونيا؟,جمهورية إستونيا
كيف يصنف الأمم المتحدة إستونيا؟,تصنف الأمم المتحدة إستونيا كدولة متقدمة
ما كان عدد حصة الإستونيين العرقية في السكان المقيمين داخل حدود محددة في الوقت الراهن من إستونيا بين عامي 1945 و1989؟,61٪
ما سبب تخفيض حصة الإستونيين العرقية؟,بسبب البرنامج السوفيتي لتشجيع الهجرة الجماعية للعمال في المدن الصناعية من روسيا، وأوكرانيا، وبيلاروس، وكذلك من هجرة الحرب والترحيل الجماعي جوزيف ستالين والإعدام
ما هي نسبة الراتب السابق الذي يتقاضاه الوالد خلال إجازة 18 شهرًا؟,100٪
ما هو تاريخ الاستيطان البشري في إستونيا؟,"قبل حوالي 11,000 إلى 13,000 سنة، عندما ذاب الجليد من آخر عصر جليدي"
ما هو معدل التنمية البشرية في إستونيا؟,يعدّ مؤشر التنمية البشرية عاليًا جدًا
ما كان عدد الأقليات بحلول عام 1989؟,تشكل الأقليات أكثر من ثلث السكان، حيث بلغ عدد غير الاستونيين قد ارتفع بمقدار خمسة أضعاف تقريبا.
هل يحق للأم استئناف عملها السابق بعد الإجازة؟,الأم لها الحق في استئناف لها / له موقف سابق
ما هو عدد البحيرات في إستونيا؟,أكثر من 1400 بحيرة
هل يحصل كل من الوالدين والطفل على رعاية صحية مجانية؟,الابوين والطفل لهم الحق في الحصول على الرعاية الصحية المجانية
ما هو اليوم الوطني الإستوني؟,هو عيد الاستقلال الذي يحتفل به في 24 فبراير، في اليوم الذي صدر فيه إعلان الاستقلال الإستوني
