question,context,answer
ما هي عاصمة السعودية,الرياض هي عاصمة المملكة العربية السعودية,الرياض
من هو مخترع المصباح,توماس إديسون هو مخترع المصباح الكهربائي,توماس إديسون
ما هو أكبر كوكب,المشتري هو أكبر كوكب في النظام الشمسي,المشتري
ما هي لغة البرمجة بايثون,بايثون هي لغة برمجة عالية المستوى وسهلة التعلم,لغة برمجة
ما هو RAG,RAG هو نموذج يجمع بين البحث وتوليد النصوص,RAG هو نموذج يجمع بين البحث والتوليد
ما هي عاصمة مصر,القاهرة هي عاصمة جمهورية مصر العربية,القاهرة
من هو مؤسس مايكروسوفت,بيل غيتس هو مؤسس شركة مايكروسوفت,بيل غيتس
ما هو أسرع حيوان,الفهد هو أسرع حيوان بري,الفهد
ما هي أكبر قارة,آسيا هي أكبر قارة في العالم,آسيا
ما هو الذكاء الاصطناعي,هو مجال يهتم بإنشاء أنظمة تحاكي الذكاء البشري,مجال يحاكي الذكاء البشري
مرحبا,اهلا كيف يمكنني مساعدنك,اسمي اوميقاv3
